StudentId,CourseId,Section no,seat no
0,135,1,1
0,142,2,1
0,16,1,1
1,122,1,1
1,93,2,1
1,143,1,1
1,117,1,1
2,18,1,1
2,147,2,1
2,101,1,1
2,48,1,1
3,76,1,1
3,137,2,1
3,4,2,1
4,31,2,1
4,96,1,1
4,26,1,1
4,18,2,1
5,50,1,1
5,145,2,1
5,125,1,1
6,52,1,1
6,28,1,1
6,92,2,1
7,96,2,1
7,40,1,1
7,42,1,1
8,134,1,1
8,57,1,1
8,83,1,1
8,2,1,1
9,21,2,1
9,107,2,1
9,139,2,1
10,105,1,1
10,149,1,1
10,123,1,1
11,96,1,2
11,148,1,1
11,4,1,1
12,42,2,1
12,101,2,1
12,149,2,1
13,45,2,1
13,24,1,1
13,15,2,1
14,107,1,1
14,111,2,1
14,79,1,1
15,49,1,1
15,6,2,1
15,108,2,1
16,18,2,2
16,150,2,1
16,15,1,1
17,132,1,1
17,104,2,1
17,87,2,1
18,20,1,1
18,105,1,2
18,67,1,1
19,1,2,1
19,115,2,1
19,106,2,1
20,22,1,1
20,32,2,1
20,147,2,2
20,10,1,1
21,103,2,1
21,139,1,1
21,135,1,2
22,25,1,1
22,7,2,1
22,22,2,1
23,79,1,2
23,100,1,1
23,83,2,1
24,129,1,1
24,115,2,2
24,127,1,1
25,138,1,1
25,141,1,1
25,53,2,1
25,74,1,1
26,60,1,1
26,24,1,2
26,127,1,2
27,33,2,1
27,54,2,1
27,91,1,1
28,91,2,1
28,12,2,1
28,106,2,2
29,101,2,2
29,26,1,2
29,83,1,2
30,17,1,1
30,20,2,1
30,27,1,1
31,100,2,1
31,50,2,1
31,86,2,1
32,11,1,1
32,16,2,1
32,72,1,1
33,47,1,1
33,77,2,1
33,19,1,1
34,39,1,1
34,40,1,2
34,92,2,2
34,85,2,1
35,149,1,2
35,95,1,1
35,81,2,1
36,121,1,1
36,51,2,1
36,64,1,1
37,127,2,1
37,81,2,2
37,87,1,1
38,61,1,1
38,94,2,1
38,11,1,2
39,49,2,1
39,14,1,1
39,36,2,1
40,45,1,1
40,117,2,1
40,123,1,2
40,26,2,1
41,97,2,1
41,130,2,1
41,7,2,2
42,38,1,1
42,103,1,1
42,86,1,1
43,100,1,2
43,2,2,1
43,72,2,1
43,23,2,1
44,9,1,1
44,110,2,1
44,68,2,1
45,150,2,2
45,146,1,1
45,106,2,3
46,93,1,1
46,60,1,2
46,8,1,1
47,28,1,2
47,103,1,2
47,107,1,2
48,24,2,1
48,80,2,1
48,83,2,2
48,104,2,2
49,73,2,1
49,61,2,1
49,1,1,1
50,75,1,1
50,74,1,2
50,6,1,1
51,123,1,3
51,66,2,1
51,21,1,1
52,73,1,1
52,38,2,1
52,142,2,2
53,22,1,2
53,99,2,1
53,66,1,1
54,14,1,2
54,54,2,2
54,103,2,2
55,94,1,1
55,133,1,1
55,85,2,2
55,101,1,2
56,130,1,1
56,80,1,1
56,125,1,2
57,109,1,1
57,77,1,1
57,90,2,1
57,130,2,2
58,99,2,2
58,146,2,1
58,20,1,2
59,98,2,1
59,80,1,2
59,135,2,1
60,109,2,1
60,58,2,1
60,143,2,1
60,22,2,2
61,60,1,3
61,132,1,2
61,67,1,2
62,49,2,2
62,60,1,4
62,138,1,2
63,10,1,2
63,127,2,2
63,85,2,3
64,56,2,1
64,97,2,2
64,121,1,2
65,46,2,1
65,92,1,1
65,28,2,1
66,66,1,2
66,53,2,2
66,33,1,1
67,119,2,1
67,85,2,4
67,80,1,3
68,89,2,1
68,84,1,1
68,139,2,2
69,58,1,1
69,46,2,2
69,44,1,1
70,96,2,2
70,76,2,1
70,41,1,1
71,62,1,1
71,83,2,3
71,102,2,1
72,66,2,2
72,89,1,1
72,94,2,2
73,55,1,1
73,68,2,2
73,138,2,1
74,140,2,1
